               ctW             ctp             cpQM            ctei            ctli            cQei            ctZ             cQlMi           cQl3i           ctG             ctlTi           cbW             cpQ3            cptb            cpt             ctlSi           
MGStart        -8.303849       64.337172       45.883907       24.328689       24.43011        23.757944       -6.093077       23.951426       21.540499       -3.609446       21.809598       49.595354       -51.106621      136.133729      -43.552406      -20.005026      
rwgt0           1.392399        71.194836       -8.912827       -20.951815      -5.142752       -4.826439       5.747254        -13.812215      -3.824653       -1.825803       -23.482444      42.920895       26.459761       80.771769       -18.303025      -4.855648       
rwgt1           8.903615        -7.291105       -28.061344      -16.775499      20.008918       7.83824         -0.092175       19.376564       7.838031        -2.547439       8.455041        -37.730227      -51.347855      35.408119       -22.763727      0.946506        
rwgt2           7.962942        36.312517       13.225439       -5.214648       23.88842        14.258431       6.571661        13.816301       -2.560435       0.533598        4.790528        33.300078       -26.558073      29.806209       -34.581479      -18.356672      
rwgt3           3.457037        35.238861       32.774222       5.793725        9.90488         -5.706189       -4.716952       15.027987       -16.988025      0.247099        -20.839668      15.031663       14.404304       112.94871       -22.788598      -3.527305       
rwgt4           -4.18458        -19.496045      23.367116       -1.406209       -19.316893      20.685586       1.314687        5.686387        13.090935       0.065767        -3.220937       11.514088       -21.598049      132.444039      -8.880465       5.012008        
rwgt5           2.110008        -26.139927      22.839684       -5.228777       22.532184       -17.409548      6.027865        -0.10179        17.873079       -4.019582       18.734813       2.368363        -8.024879       -103.737727     -19.420819      15.072352       
rwgt6           7.667776        -12.448854      -3.948412       -0.630451       -9.539848       -16.119515      4.280728        -11.297365      -18.859005      2.128575        18.388436       20.062621       -21.007688      4.871543        -6.625156       -16.009285      
rwgt7           2.587385        -34.05376       27.964746       -16.681072      17.59233        17.658266       5.757504        -5.104907       19.439899       -3.428054       18.382793       -21.014442      -52.233298      -78.499195      -2.872697       4.189388        
rwgt8           9.202275        75.467592       51.424585       13.292312       -11.729141      18.697801       -0.087087       -9.869605       -19.085486      -0.055129       -2.947612       -11.217028      11.400526       -38.845108      30.383993       -18.268826      
rwgt9           -0.296319       -31.187213      23.678488       11.550965       -11.118754      22.284291       -4.539585       22.250135       -24.745377      -1.076883       -17.419628      -32.803459      15.225737       -124.404462     -13.772253      -20.164262      
rwgt10          -8.067452       58.224362       -19.990649      6.119553        12.72372        1.125557        -3.753556       9.193973        -16.665464      -3.08387        -5.0007         -27.937659      18.736306       -100.427239     22.68385        -10.795675      
rwgt11          -1.068103       -33.171284      2.157899        -2.163908       14.213024       -23.667653      -5.031973       22.226423       -8.386705       -0.26781        -8.476384       -27.110913      -52.364648      101.23506       -18.613849      22.667661       
rwgt12          9.760811        76.962461       -21.794078      -9.016715       20.855411       20.72518        6.936801        5.136504        -15.30633       1.122783        17.494881       -45.364989      -25.223294      -66.552936      21.217873       20.98077        
rwgt13          2.594349        -5.854624       43.269647       -2.844324       6.875377        13.662162       -0.234143       -0.752976       16.815718       -1.150882       -18.055548      45.848342       -38.195025      64.55461        -1.988411       -10.4115        
rwgt14          -3.994851       0.21287         -26.514648      15.467144       3.573979        3.360814        -3.814181       -24.534595      19.870652       2.575135        18.8252         37.68443        -19.597652      138.101987      17.177199       18.681088       
rwgt15          -1.873691       48.55214        20.054554       8.565997        16.276422       21.628777       -1.237142       -21.778365      21.476628       -1.533333       -0.558904       36.921014       34.819578       2.809396        -13.023878      9.519085        
rwgt16          7.993639        61.312928       -7.109982       3.951885        -3.216577       8.990134        0.054775        -23.237342      -1.684119       -2.071596       7.322524        -5.285278       48.744914       -17.230406      -33.152876      -9.392347       
rwgt17          4.779556        -11.649968      0.418127        -19.587446      2.966919        8.639635        -2.440356       7.564525        -19.807236      -1.073913       -14.53491       26.841588       28.657048       136.315543      -12.659991      -13.187851      
rwgt18          -4.749635       56.226039       49.717935       20.49656        -24.144471      -24.074062      -5.15868        -17.571932      7.132905        -0.571108       10.608386       -45.261085      23.817519       -137.91566      -4.861774       20.405599       
rwgt19          -1.845966       -15.548248      -10.84561       -14.434498      10.868168       -2.144981       -4.091272       -12.008442      -5.656702       -3.370271       16.988109       -47.21926       -35.70962       48.146497       3.803477        5.635526        
rwgt20          0.188322        18.481318       8.916252        -4.842167       -23.646753      -8.479101       -5.186504       -4.669575       -11.234116      1.601054        2.232097        -8.799373       -5.968797       31.549641       -16.857657      11.747597       
rwgt21          1.070215        -12.142716      -24.464778      8.143264        15.589835       12.768472       2.395099        -7.033843       -20.946703      2.386311        18.723392       27.806908       -33.28802       -119.559897     -26.108307      -19.465058      
rwgt22          -3.993048       33.834169       40.161925       -1.609888       -11.384113      -7.022772       -3.612619       2.99053         0.784545        -2.940377       -8.396665       23.722203       -47.176575      -4.92309        29.922423       -7.832627       
rwgt23          6.845194        -35.450721      11.752817       11.613064       -20.767244      18.96619        -6.409466       21.73051        -4.094117       -1.411101       6.823711        13.225866       -25.154004      -86.257505      -42.532167      -17.897505      
rwgt24          1.00125         42.596824       38.033172       -23.404903      21.99394        22.51781        4.30626         11.389381       11.572118       0.159916        -19.695129      -5.83196        0.2423          -120.057583     8.891228        -24.086549      
rwgt25          9.216738        -14.204884      52.925151       15.653141       22.958916       -18.358857      2.646633        -1.837092       -12.232019      0.708325        -7.154271       -49.118522      23.042839       -18.485225      -5.382179       -11.889296      
