                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQd1                cQd8                cQq11               cQq13               cQQ1                cQq81               cQq83               cQQ8                cQt1                cQt8                cQtQb1              cQtQb8              cQu1                cQu8                ctb1                ctd1                ctd8                ctq1                ctq8                ctt1                ctu1                ctu8                
MGStart             4.88896183869       -14.1328777197      21.9095448461       -8.80657336216      -8.00731279164      5.86649714759       -4.68358061789      -5.16633309211      7.24067138214       -2.37247930204      -2.71056851632      -4.60518265215      -13.3845662539      16.9547113383       -27.3581710276      -10.6265576048      -43.1200658228      39.4891810198       -46.7739047931      34.1281615483       45.54269174         -50.6059704063      31.4395754275       52.0457909417       -49.6899422395      -35.3570943581      -56.7490199354      58.9685083489       -54.6290256554      42.9222315806       56.7044757827       -57.6065533853      47.2520593279       -39.5949081332      36.237878718        -59.952364999       40.504470185        41.3204376053       
rwgt0               -1.96417522889      57.0003487154       -10.9040811204      -4.39730124609      8.10906683584       0.559663823766      -2.31295852743      5.76071539197       -4.85470652213      -1.59610974694      -0.619585509845     -0.213413571017     -11.5774889776      -25.7528931482      -18.2948172998      -3.76164387382      5.5501008964        -38.3227818824      -51.8100866471      -22.376159906       50.2201717409       38.2961638869       -27.0523625035      42.9179764082       -49.2448131308      42.9862136663       -57.0305094179      32.0230418048       31.0451083642       17.2868013585       -42.9154999037      -43.3938097931      -31.0204143278      -9.76935359758      -0.658147838821     -30.1225278671      -50.2565601038      9.49661993322       
rwgt1               -3.72999080793      -4.89478216555      35.4487368627       5.63515596291       8.7655678858        -4.10848078868      -4.77245289504      5.58124928137       -5.61789190695      -0.703856032489     -2.61491857022      -0.63407646812      -12.4164316009      23.9240588712       -29.2867434783      -5.61204280218      -35.6755900874      -60.3735357969      2.00264041185       4.61442989561       -9.07298616913      -1.30456508494      -42.3361579441      25.945504537        -26.2374008228      60.7593992172       -5.239955395        -18.5992918486      13.8536839895       -47.4031262451      11.5997105936       -11.3889633454      14.7282839515       22.9383507197       20.6344130168       -45.8180433063      -53.1861271602      -59.9334767383      
rwgt2               2.21078854074       -7.13377679878      26.3942360748       -0.031635908639     1.75161362832       2.56682127911       -0.546553434707     9.69359904266       -1.22415265492      0.19938564555       -0.461187333804     1.2482300593        -11.0790520699      -0.0183914953656    -20.4907281673      7.54948245616       -5.25197354087      44.3992485941       31.6237167127       55.2229857501       12.8951282644       34.1670164634       -58.3415293278      38.9459964578       60.469029222        -45.5798551676      -8.75088832902      -53.2670267469      -20.1956259373      -49.5094445034      7.61227514604       6.92139851741       45.5176860132       33.5510257579       10.4343409172       55.0649809985       21.3653626202       53.606078028        
rwgt3               5.17058000687       20.5807453321       33.8607892207       0.182767780898      5.35136293036       1.68074789433       -0.112969784106     -2.26535863252      4.7110085305        -2.83670336944      0.16796457126       -7.42140588273      -0.793845407026     3.05660983581       -25.4782535656      5.74543900042       -52.1856033898      -48.433971092       54.1063056944       -5.2882757783       27.7655726782       20.204119387        -6.17213115445      -43.7694214481      -45.6087163126      29.8146939382       32.6162911118       -10.4509548917      -25.3319901893      42.7789231328       -27.9438346623      -19.4739560958      34.8667296533       53.0269387326       -27.0884078942      33.017039126        -12.0018948657      -59.8908561764      
rwgt4               -1.15563935809      19.7220820838       24.4160085029       1.67330745099       -2.06203142803      7.39742293662       4.47028940135       3.14245038205       10.2681088943       1.80636715359       0.229212553656      -2.79341929823      -9.86316592625      2.68821207236       -29.2365965827      -10.2540616441      61.2788683536       7.68484251315       -57.999034718       21.3438900136       -52.2687513354      43.9777354571       -34.3298396493      -47.7040139358      23.8691399582       38.9628501378       -59.8535397629      -7.76835598014      41.075351052        50.3912122898       28.6088001478       -4.61527880786      -13.7015391696      -36.6050132829      54.8247774861       42.1907339608       4.53182851055       14.7021853109       
rwgt5               -1.86716969543      9.15096945147       17.8139250911       5.78935888522       -1.35016758299      -5.78190774328      -0.671037113167     0.0515665018032     10.1090909141       0.142390807272      -2.86363479688      -2.34312252361      -5.34776156246      -20.6550120628      -2.78117102489      -6.05426869898      -22.9325283124      9.80069917431       34.600612752        -42.9838067383      -4.9896401355       -24.5392706559      -36.5077560151      -58.492015996       -30.1980795243      -28.5190372937      53.512406903        -54.4014591803      -52.6612066022      52.3612355906       -53.4779985323      -3.55525903244      34.5827735091       -2.03581608358      -25.3414384499      -10.80782957        -54.5855032226      -50.7061819765      
rwgt6               3.53575091748       15.8976992178       8.24045264355       8.81882114017       -3.2558189518       -0.730676118111     3.60814760666       5.83084721562       1.85069276604       1.71082462925       2.49436630035       -1.0185395744       -6.22988964082      -26.1035947982      -10.4057065171      8.86802588573       23.8611060349       15.7744565342       37.3465501987       11.7583369546       30.7718344131       39.1381436118       18.7027220825       59.9250042766       39.6695854752       25.5739682665       29.2937320187       -33.2817909913      -61.127471956       20.8036494272       23.604564186        -57.9136874532      -41.1391774688      -59.6956857015      42.2579942149       43.5026311427       22.4872385315       59.3923169153       
rwgt7               -4.1354853541       39.2936888945       12.8748813444       -0.585288609607     -8.53241682591      8.19525610114       -3.40659304957      -0.0301505424959    -7.57376878744      -2.2793778909       2.81497918409       -4.88028423542      -6.33448150945      -14.2752661303      -25.9436957211      -0.877533764631     -45.2660540695      -32.0077228477      -60.1660530796      48.4156452507       55.1637902551       -15.6353460732      30.8238416496       -52.2199845066      -11.6554406436      -29.3218667535      51.4953425533       -57.4656143126      42.5394521728       19.6331858354       -42.8925971232      -41.2850562466      -39.6449514143      45.9461047614       36.5487024969       -18.4785424393      -40.2521873785      -49.8544161624      
rwgt8               1.75417784915       57.065706227        -10.5525837663      9.42395621054       1.46911389073       -3.93774936349      2.08072447336       -4.36875485377      -9.15131790151      -2.78583407699      1.75712883809       5.36783830323       -13.1296924286      3.59893191027       16.2535057213       -9.34299600778      -15.5428287776      60.6011217248       -48.9461420959      -19.505268981       14.2910229557       -40.0253173634      53.8966621726       10.2469298191       27.9639418657       -28.9722320365      -37.7160872527      8.9261754324        4.56673775749       55.3807554564       34.9197728513       48.0972806649       52.1295017152       41.6853519528       -7.09517693333      -39.0806560517      51.8325921432       48.9114346184       
rwgt9               0.690729528256      25.0456932417       -9.3360588266       -2.15679613424      4.91067877053       1.95216081901       0.122093880092      -3.57312628463      -11.6572166604      2.62393381668       -0.920019195923     6.83266981281       -12.6877518668      21.0988584197       -31.2350509182      -6.10922572151      5.72643497004       54.7677432394       -6.83499293046      -17.3573761062      -1.67719551991      13.5500517512       -7.21466630785      -43.6867639766      31.8757910558       39.7964914172       -39.9414150327      -4.90334391198      33.8695107545       44.4860990915       -59.204441459       -22.0081384185      -28.4509627789      14.1458274584       -53.9888532815      -35.1576982694      -0.264094881395     -13.572918318       
