                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQq13               cQq83               cQq11               ctq1                cQq81               ctq8                
MGStart             1.49                100.0               -1.02               -7.21               -5.53               -7.31               0.94                -5.77               3.66                0.24                1.42                6.98                8.13                24.55               1.5                 10.14               0.51                -1.19               -0.53               0.64                0.79                0.86                
rwgt0               -2.51157998843      62.1328905976       -0.18905068867      3.59295041856       1.50760677118       5.19117687719       -0.324950807368     10.3278266811       -0.95499054235      -0.291509422197     1.00957252187       -3.95031472228      -10.5250665466      12.2068930108       -0.1462204222       0.929687905121      0.547466319694      1.77851486899       0.271196105279      -0.683120699683     0.122430520296      0.0361930125322     
rwgt1               1.78606943819       -170.760800183      -1.4529318576       4.72016473242       -3.02252758751      9.72673660393       -1.07306014046      7.42279146827       1.5170414821        -0.0863939345046    -2.4480201553       2.14909646595       -2.26606191421      32.5421163771       0.374042912904      7.78277329209       0.094661250685      0.619708935378      -0.100303440258     -0.356073771329     -1.40415352498      1.27764015742       
rwgt2               0.546002260526      -29.0202709215      -0.219557678919     10.9849101152       -7.27694747886      -6.5631380394       1.63975178398       0.956541922771      3.56953558741       0.0347884963303     0.870773514435      -5.92198665746      -5.5003732735       27.0088514824       1.98508765358       -12.479394084       0.055036898681      -2.07934822467      -0.791410930274     -0.627423534085     0.543623827715      -0.393499547103     
rwgt3               -1.54534525599      11.24614117         -0.00863026314819   4.00974130492       0.497333793751      12.6225435039       1.31247437445       -3.64589494768      -3.98357555103      -0.231955154634     -2.21405118408      -3.33046238649      2.0170391417        13.9234530604       -0.641424635569     11.0413593686       -0.282095103471     -1.07783301418      -0.0489857034488    0.881501578974      -1.11776102814      1.18999790118       
rwgt4               1.43645930391       114.171629878       -0.622290278527     -0.153863163748     8.2680968596        -2.11845792663      1.44892455845       -0.275718839723     1.8910307637        0.180091474665      -1.7268572562       -8.57671167354      -12.6776616652      -1.61351846843      2.05389009968       -1.24443105355      -0.826806059918     -0.977177451489     0.161403441331      -1.10698566546      1.34430810362       0.826493510488      
rwgt5               -1.45391509088      77.9468554678       1.00115319203       9.20860517128       7.93700270739       -4.57464841294      1.31510614144       8.010072218         5.46602770102       -0.166023360696     2.39921487248       -1.71756815317      0.145491935652      -10.233518387       -1.99194937882      16.2335752248       0.480611144001      -0.507125483344     0.550653548229      0.758200137761      -1.13030582956      1.04374984695       
rwgt6               -0.466383143918     -13.614468705       -1.32392884916      5.94406869944       -3.11931199798      -12.4784459098      0.610538922604      5.97205741455       5.52363335316       -0.166120686094     0.200852438019      4.47757235651       4.24681302367       39.6384202848       -1.69980223757      -3.78339725692      -0.519887389506     1.14460478865       0.492935687114      -0.358680295432     -1.11296452035      -0.0215755549053    
rwgt7               0.622437885819      77.700618908        -1.47041341758      1.66105068379       -9.06145526728      -1.8920598199       0.269475123738      4.6605624293        4.16639480092       0.426019448848      -2.10992059668      -6.83349696141      4.86444360257       27.0356809484       1.59642633698       13.3630591563       -0.867946315572     -0.334647605309     -0.0819488456594    -0.452539523799     -1.00997350759      1.31703233095       
rwgt8               -1.90182025215      67.3354851351       0.65285330271       -6.37124069014      -9.20206981449      7.52140290006       1.33111201893       -9.83178744321      -3.31736576691      0.415755991493      1.51473941075       -3.00425788663      10.2956748562       -7.06217892313      -0.294779911268     17.5961171679       -0.254382745649     -0.923439382535     0.805704580626      1.02032985303       -0.896778427358     0.501570365531      
rwgt9               -2.13605837959      -1.80654176886      1.51012211272       6.66923578054       -4.40023575611      -3.91252005675      0.268994118752      10.1072279576       -3.48742924532      -0.074147794716     1.69084622781       -9.80610010023      -3.4610728374       8.20345533954       0.363571158558      -0.181308424997     -0.594855985777     -1.50214695173      -0.423751579631     -0.962497040357     0.197087442456      -0.75780257832      
rwgt10              1.14336402209       19.4299565048       -1.81434715645      -5.28549084273      -0.818771109813     -12.2084653073      0.899989882209      0.13766698501       -1.04437663934      -0.0154677485124    -0.982824085224     0.632909950569      12.3855198661       14.0198095733       2.36340220618       8.43539631712       -0.0781522095555    0.187897431588      -0.591225513321     0.613687942815      1.08541158321       0.496099386706      
rwgt11              -1.27145046976      -10.4456210721      1.29051908355       -10.2440422229      5.09176766085       10.1362497059       1.20858311579       3.81092390661       4.27552205081       -0.028238411061     2.01156917753       -8.10777674092      3.4712294885        -37.1927205885      0.623070665808      5.23647248672       -0.462872551542     -1.51379531898      -0.158315854017     1.01247800322       0.90988370404       -0.713905285928     
rwgt12              -2.36834857147      -83.377804931       -1.6708555533       1.67782609169       5.67750787879       -7.77064814032      -1.47080646325      5.61690265926       0.257972961018      0.0600293317061     1.36417687423       3.4345199899        -14.2028128721      42.4342291251       2.35027691798       -1.12497462922      0.218453294568      -0.187910756242     -0.033546329207     -0.918152989917     0.237067923545      0.606997791225      
rwgt13              0.820181956211      6.0268189679        1.27454686775       7.60106967198       6.36647538436       5.73370112643       -0.183174379524     -5.49830266719      0.34867454119       -0.427906449213     -0.965894279503     -0.344810366921     13.3756256629       35.7030738205       1.63069955619       10.2948217987       0.896623758501      0.063514097583      -0.599277877694     -0.15833567987      -0.602704970528     -0.0761952904644    
rwgt14              0.506059327096      -76.5901869587      1.34812093043       6.9350983475        4.22205702517       -4.29597816285      0.687955282055      1.49464807671       -5.4876438575       -0.388127422598     -1.88891348787      1.86740959518       3.63779124082       31.8927202438       0.972262024925      -6.01822516377      -0.085847917121     1.57252155331       0.0649815897103     0.935748650983      1.0962269024        1.3812201586        
rwgt15              1.39031107049       56.5292141265       1.66124670256       -1.65702509572      0.796914489671      -6.30198024506      -1.31894987617      -8.33722474566      6.09371286951       -0.0587060212132    -0.867930076777     11.6035437072       3.92838368073       -22.0672959949      -2.21727533397      -13.8132079835      0.0619818450103     1.1342576054        -0.925396451781     0.178987518796      -1.03395135106      -0.206828016626     
rwgt16              -0.529256163559     -2.69564980999      -1.4204638411       -11.5672701688      -7.4296969378       -8.23364452354      -1.19698075053      -1.21906701891      6.10039782722       0.19743243354       2.53083264995       -7.99455177828      -4.76874727661      -41.8238186421      -0.353037023706     -5.42562899234      0.729574438735      -1.39000735274      0.0384484730501     0.760483806174      0.646129874021      -1.48132276744      
rwgt17              -1.30586778667      28.3506161863       -1.48693467922      5.86354881898       1.96632573556       9.88495025911       -0.611095462781     -1.84680554992      -4.75118997304      0.380784269131      1.61612443396       2.60452656666       -0.655332198922     -23.5831856009      -1.85366704727      -2.87919550429      -0.20154479943      0.0408292745472     0.116317740144      0.295383028275      0.345535072877      -1.46991751811      
rwgt18              2.28321976876       -71.9115229975      -1.29994995427      10.3675245797       -3.00684945699      4.85538124878       1.57822698344       -0.227223776389     -0.585997398087     0.414086374828      0.239829798214      9.20761557294       -11.66644156        26.1079022091       -2.39975785251      -13.6100646883      0.609138532567      1.84702790712       0.880372583028      -0.714713534359     0.150984659449      -0.0270729582498    
rwgt19              -2.52569178081      -59.5519814077      0.81806176407       7.67298570626       6.19832141115       -9.78990384452      -1.62957569975      -7.26941495047      -4.20761076955      0.246734009753      -1.4346538931       -12.3427945621      11.6893333542       19.0947185954       -2.44819498934      17.5039530546       -0.405071341035     1.14545615207       -0.833334045439     0.422654485006      0.673636979628      1.14465536824       
rwgt20              -1.99077514952      44.2648295283       0.688762315737      -7.41805271621      6.0902706429        7.18490787628       1.61011711051       5.43182610562       -4.4562907832       0.386269667147      0.494137422403      -6.46159295371      -9.16547965881      -23.1967934783      -2.69236660159      -17.3671768181      0.444415530815      1.16647411824       0.443941944241      -0.0573585078934    -0.652176414695     1.21956619785       
rwgt21              1.39121507392       -117.943780106      0.0861519844274     -5.78867857856      -9.11173454415      2.6327047454        1.33718899117       2.86605015949       -2.15582712804      0.0849767890892     1.04695276854       -6.86921078915      3.25394615699       -17.547524957       -2.36437707522      -14.9716907409      -0.44807123669      -0.664760063534     0.541667803507      0.685081862393      -0.173109318425     1.41947356928       
