                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQd1                cQd8                cQq11               cQq13               cQQ1                cQq81               cQq83               cQQ8                cQt1                cQt8                cQtQb1              cQtQb8              cQu1                cQu8                ctb1                ctd1                ctd8                ctq1                ctq8                ctt1                ctu1                ctu8                
MGStart             4.21571416736       -9.00511585249      26.2153391649       7.62111092074       -5.94677853705      6.1420429996        -3.48472916239      -8.02222754626      -6.90386694922      2.27164675517       2.56178633636       -4.05373864551      -9.97279522374      -21.2926763059      -20.5253514414      9.95551375547       45.9975094833       57.7459232751       -31.2212202311      44.2289059844       -43.0077222511      41.9359957253       -51.0228977626      44.8319390416       -48.3718081583      35.7223325176       57.2386693058       -41.5720240795      -41.6180049981      52.0755725415       -43.3254401072      -33.590020655       -45.2787821565      55.667434138        56.1444734148       -55.8386054364      -41.0977007633      -46.3060321633      
rwgt0               -4.02681253969      22.4283894033       0.606482984886      -7.40588102002      7.98294358909       -5.34294156246      3.22800655868       -6.61178866877      1.6926061231        1.26659978467       -0.673242912542     0.175130791718      3.84763077048       -22.2764740675      10.2030642144       -4.32339095694      -53.6088948861      10.2431902562       24.0615964094       -28.1547131806      -46.9208225583      -40.844150358       47.4793173795       54.4934688869       5.55822417721       -30.1171535221      -14.4441364334      1.23379218124       -34.0093836062      -22.3910919272      22.3157543381       6.93089646958       27.5530572755       -21.436677214       40.711493072        11.2192650297       56.1215086316       -27.7260251427      
rwgt1               1.1664262738        15.915549304        26.3940551588       -5.30871957823      3.81286886108       5.46357891293       3.39119432352       9.57638376134       -6.35833280548      -0.189389937667     -1.56836936242      2.79969187537       0.65454519519       1.4680173716        -32.6495003815      -0.293862549603     44.1073643394       -1.71418956787      -0.39836513866      -57.0916620542      -57.421046911       15.4770693379       -8.7503924576       -21.9665812028      -56.3214818447      47.3172753235       -54.1343885873      -45.498117086       -4.78252256978      -37.6424642389      -32.7454447526      -1.50417827198      -17.1357106506      48.8479961507       48.6443356683       -36.0701547328      -37.1858102602      -24.0804200877      
rwgt2               -1.16243184924      45.6418280453       4.15696037609       -6.87806106542      -2.72531864606      -7.79036917541      -3.52817700666      -2.15132890563      2.31400359291       -2.47986505928      2.09956483698       -0.53922207313      -1.9704222396       -7.99510292635      -20.132551573       -12.8921700784      15.4580076173       -0.0570468869673    -58.3201611832      48.3009826048       36.703131028        54.8299574556       36.5252551246       -20.0797638423      -56.0469341624      60.903891884        -13.4106431801      -46.7302787495      -15.1552615159      -30.9791579427      31.3551179222       23.4437981008       -58.5387541021      26.5395227328       11.5265969098       13.4853925378       -12.470080063       -14.4932932716      
rwgt3               -1.98533981029      -0.280616168586     13.404411158        -3.96062278428      -0.612863500091     -5.2446316976       -0.939317877907     -5.46091214444      -10.5462341411      2.81800776657       2.97833635447       3.02224674098       1.02871880579       24.4867697987       10.128855361        8.24666260075       -44.7704669047      -4.62957594026      -29.2798597684      55.9599944222       -25.4418301622      13.9894732218       48.0548695618       -4.2918725418       3.24562907979       -29.7204323443      -37.7362201057      26.6713901998       -17.2382300738      6.13517795024       -48.4833258488      -29.2930598096      -47.6777722916      -22.5999345458      -38.4488799981      -13.8092160836      60.6021328923       -46.0536481718      
rwgt4               -3.1475538184       49.6948248459       -1.64766697462      8.87404132959       -5.10908909028      -1.56268187597      -5.11143147153      5.53824009384       -9.83461220573      1.3309432523        1.04194008979       2.90660141212       -5.21151729652      -19.9185907762      -8.22104177607      -1.4175247866       -46.5355584635      -45.361228875       -28.4659841926      8.73347179932       50.3157385184       52.5664427833       7.95474512496       35.4201179276       59.4650925216       -10.6178793501      14.7441476871       48.8347540176       17.7799245494       31.3084517105       50.2825667356       -58.4277332316      13.0251641895       41.3696782452       -30.664472078       -35.7046401909      -53.660012489       30.013600392        
rwgt5               1.61539713173       21.9813950522       10.6025674496       6.69462035031       -7.4614179194       -6.71248300424      -4.78665384595      -8.11751294622      -1.1177815757       1.90363840486       -2.30634831892      4.63696173661       -7.15001747441      6.56509666878       -2.32351414785      -6.09042582593      30.3593023294       -40.5380307727      54.5100905908       -18.5409047124      0.500272202991      -6.96076889944      49.912485424        -27.384327796       -54.216901236       36.8440755479       11.611835248        58.3142800886       14.1334079233       23.0851500526       30.4731428007       52.2610243269       13.0826926122       -59.4906940777      -44.5342200052      31.8063871784       49.3426767742       53.1868581886       
rwgt6               -1.83454225304      19.8849020166       30.0129272322       8.33861936672       -3.56011876125      -6.08124281942      -2.18643884314      -5.40749453908      9.64137159833       -2.2677786145       1.16685313142       2.67804219051       3.51232726857       15.6075820179       -1.35150796919      6.73178307893       -23.1357831612      -44.9576878397      43.6835854412       45.9695492012       35.9566603392       41.2298395474       -15.4630763381      -6.44375227526      33.4528421987       17.2799265183       -28.4363649137      -0.276139793789     34.5275205293       17.306701207        28.1528383524       -55.8301819668      17.8398200772       -9.01312676973      -60.7654799847      -31.0561257517      8.33827889798       10.7082430927       
rwgt7               5.21071379225       17.7255728914       37.9694638235       -2.67059543433      -3.68050911013      0.209568412887      5.6784357851        -0.362768812514     0.124467810531      1.42538084532       2.91025369698       0.447340277567      4.97660502526       -10.6191931285      -25.407126401       -4.38852926375      -33.0682497768      -13.882366852       6.1464920793        -1.43768546475      -36.8630182204      9.57158540264       34.0518279534       31.3353197661       -54.4604460853      61.1972741745       12.0537970166       -0.950558331099     35.6724885734       -22.1873415294      -34.8697817225      2.23878030494       55.299525272        -21.6648921867      -40.7096252902      -21.905345944       53.4368020061       -25.5416894804      
rwgt8               4.95659902628       12.5008899418       31.6823872673       -0.117401702617     6.83086600793       -4.75415055121      3.35037064425       6.88702184188       -1.54668251766      -1.22417399328      0.313894642664      3.45619153965       -9.32257375484      -12.1045624076      -24.4802212708      -6.55472057877      21.9005374265       -16.3938818121      -47.5645420146      -14.047183384       60.3704475222       -51.3310290819      -60.8932103885      -36.9653386189      30.1280379715       40.7058099132       -10.3306459572      33.4738573997       -14.2577438893      -55.7324893256      -55.4093294269      3.48187174639       -13.3247697601      -34.8208525672      3.67770371737       -60.9638038876      -15.425551623       -15.295323669       
