                         ctp                      cpQM                     ctW                      ctZ                      ctG                      cbW                      cpQ3                     cptb                     cpt                      cQl3i                    cQlMi                    cQei                     ctli                     ctei                     ctlSi                    ctlTi                    cQq13                    cQq83                    cQq11                    ctq1                     cQq81                    ctq8                     ctt1                     cQQ1                     cQt1                     cQt8                     ctu1                     ctb8                     cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     ctu8                     cQu8                     
MGStart                  -4.39                    -1.98                    1.97                     2.62                     -0.19                    16.01                    1.98                     23.94                    1.93                     100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    100.0                    0.54                     1.16                     -0.51                    -0.44                    0.82                     0.68                     -0.42                    -0.27                    0.53                     -1.25                    0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
rwgt0                    7.688521114738977        3.036441594517031        -0.44723415712665293     0.3505674002716832       0.03662702180745747      16.751754890920708       3.5510339558430806       19.98890715546878        2.443462898808104        45.463175060217026       155.3578569862957        93.29905985005388        171.58683803370093       125.16309915677846       -93.42989681538724       -0.5933838934393236      -0.8252473721434879      2.0594485363340125       0.23673652985525595      0.2940069388552755       -0.5411656629652861      0.6868819814596876       -0.5730226194721764      0.31061367423792785      -0.8520795589377119      2.2399382755690187       -0.6462148708775618      60.113347164877425       25.836806783776865       -0.02511884631338379     1.365293846310687        -0.862216082322562       0.9756032227916609       0.14531459742350372      -0.07034486415153829     -1.4514957780768885      
rwgt1                    5.163928199116771        -0.5552127589569724      0.2765776279972503       0.494628530571255        0.008648318434554825     4.283219938807079        1.824836018327284        30.940659318039508       -1.0820948644312867      -117.31322152206609      95.68337776710837        89.5857936278407         -109.8796066088094       -148.47878683048816      77.75245707996464        51.04586049687674        0.4632077437865618       -0.6244003603077855      0.33558468316461565      0.5700535119872716       -0.8733021130095526      -0.4027112827080459      0.21399940729106504      0.11752418616518678      -0.07018977929434567     -1.4749933323211921      -0.24227908427986344     86.50342934767689        20.866223739168547       -2.5274639348763817      0.7942514323605259       -1.0738109064867694      -0.8231800894179955      0.32269359610269865      1.8659007230275986       -1.0443659694784446      
rwgt2                    6.279917057168811        3.5610497839650384       -1.5804254176990937      -3.1082541829019155      0.24850460000811048      13.125420668902883       1.202390012695072        -2.908699690818203       -3.286202021380702       -36.67385146865519       167.4038629372161        -158.0413061656088       -125.18554542472715      -145.638394971324        103.46567244593132       166.01785758296364       0.14869758003067046      -2.023326643324989       -0.5823082019568567      -0.12032333779906834     -1.1035980692201748      -1.0619790575325532      -0.20314148352891936     -0.18564344166070507     0.6306896597091871       0.9285766863055902       1.0866517821602415       -101.69820042051657      -41.22353550154779       0.8107798831424833       -1.0308755924941182      0.3291899239362577       0.7491103045946963       -0.5951474603464117      1.3594995846623217       -1.1110725602340308      
rwgt3                    4.389291468630827        -0.6514660854064247      0.8142126210462703       0.7932814746749663       0.1888912564516131       23.148792282336714       -1.490036545065902       18.55867966949895        1.0303137785317236       11.855483660015807       29.068393617265002       -136.973662027935        23.24805713029272        -61.34065164239554       122.05248922930485       23.40350211172165        0.04597891361525153      -1.3994130697606213      -0.5700025426421297      0.023811181557716887     0.11918565810542403      0.10524188143204594      -0.15650910191726164     -0.027414269887388876    0.5582248630129261       -0.281758109578369       -1.0614687531799625      3.3403917496223414       53.04418010224143        -1.700839055127454       1.060953756281983        -1.4437395236394004      1.2860564600994524       0.4378628960493316       -1.8531295519710913      -1.4110734090053527      
rwgt4                    1.0625268973347701       -1.7616903978097485      2.555551072495812        3.5370545429010862       -0.2018241151860565      -12.860906705988656      3.3891805429728645       -20.318721799042116      0.22984818960950015      18.41513892849173        20.27738737033033        -5.866332619806286       -77.21354956577382       -45.660297601913726      -151.38566273173313      124.04479151801024       -0.12585370027218423     1.1627961020741084       0.5061517674975518       -0.05586164507959912     0.23250177393570892      -1.1725065137503128      -0.6591488278283274      -0.41685478082967575     -0.5828909714279396      1.2558236760712251       1.124152042495299        -112.2836079174042       -54.67350648545681       -1.2483823378116592      0.6123823312879988       -1.3546303398103843      -0.6470423001411437      -0.09098432093285891     -0.4112700734831394      -0.39643138875198414     
rwgt5                    -6.3172659654793755      -2.6191039298454393      -0.858602863543465       -2.4374260686316953      0.08283330258676624      10.432459177424477       1.9813361485373084       -32.280810121692724      2.4256793685605316       157.57821287468158       60.292029423363886       2.77931227727629         -128.72853560870584      -95.65552597142977       -133.0098013651176       106.82838729274579       0.5631615989870054       -2.070235923144497       0.3455176040833303       0.31105776943736485      0.049730415280631934     -0.7096208215908569      -0.417466277303994       -0.40975973115739517     -0.12013561811551787     -1.1858999557586176      1.0195847651734475       113.2658207225473        25.837557956263026       0.5936726929823752       -0.603590342474758       1.695885884598869        -0.2652141965044399      0.53262675656529         1.7054886477655629       0.031249944514774253     
rwgt6                    -4.033311936418432       2.101300746821283        -0.7231126434122177      -1.7741144051370235      -0.08828964777306414     26.325195643192586       -0.5723236109938852      -6.531117632005817       0.7872264479473459       -161.13708282191908      -68.79742140688752       -168.24707750671328      -17.880514020903917      36.790922947799004       25.466515329010463       -69.10242532767919       -0.29246052444627146     -1.9771383097427695      0.34430685139353545      -0.31864678389945794     -0.5688118526382032      1.053486677523353        0.6095589506524204       0.16819495737326684      0.4291708016600868       2.2282585008778373       -1.0759929525957106      -75.51181126764115       24.086490700681196       -1.6065065730120902      0.9999114359028847       -0.24094607486217035     -0.6175810013566209      0.985143016762644        1.7555488865949767       -1.706535244452616       
rwgt7                    -7.043634812472012       0.9901934100233731       1.4779390442091809       -1.3501292641032792      -0.2314886667497002      -24.695237445705768      0.6587777374359831       -16.768911006134662      -1.7671272550314874      -24.926682020286478      -73.71314049323666       168.44145809078356       102.24356424245605       -130.8100024318876       -36.525630129517026      20.791914227392056       -0.2874218353624467      0.775735419986316        0.595637826853987        -0.33850479323766347     1.0976315642997492       0.0019332445024822231    0.4173724872022564       0.4034537313970795       -0.4361720731528421      1.0536944927232548       1.1293756383983509       -28.287540086952433      53.61568629128985        1.4918844948267278       -0.09117063836310457     2.3761712068661223       -0.13758135260478244     0.29301543807280805      -1.549663690968085       -1.2413409355258511      
rwgt8                    3.2093083967405427       1.811134141302852        1.7181472945645164       -1.2009260065643272      0.1026140162276904       -12.257927821244973      3.35516165426547         8.9837967604726          2.896112724536573        54.13735763110503        119.26904396763695       -145.15135664552156      -10.541092051048054      -2.787254915967196       -93.43794836180362       -93.47588302441969       -0.9636819476139523      1.2771722345108767       -0.5155082977783739      0.7608338360148148       0.4004640268664752       -1.097816544980646       -0.29902004701551066     0.34351104344105055      -0.2218977414172283      0.5573487392498193       -0.8514231101056025      42.0539405082324         22.449411340454247       -0.2205506268730555      -0.6765219015957722      1.0821649955474655       -1.1476950022004362      -0.4747192087089026      1.4545595265582079       0.18243447371008115      
