                         ctp                      cpQM                     ctW                      ctZ                      ctG                      cbW                      cpQ3                     cptb                     cpt                      cQl3i                    cQlMi                    cQei                     ctli                     ctei                     ctlSi                    ctlTi                    cQq13                    cQq83                    cQq11                    ctq1                     cQq81                    ctq8                     clq1                     cHbox                    ctu1                     ctb8                     clu                      cld                      cQb8                     ctd8                     cQd1                     cQd8                     ctd1                     cQu1                     cbB                      ctu8                     cQu8                     
MGStart                  -48.33                   -6.79                    1.15                     -7.18                    0.34                     100.0                    3.93                     100.0                    8.94                     18.42                    32.71                    100.0                    76.64                    100.0                    100.0                    11.65                    0.25                     -0.52                    -0.37                    0.37                     0.4                      0.36                     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        
rwgt0                    5.428715117836859        1.6780942949250015       1.151572660345273        8.54477600831289         0.2919515735385586       176.0818101110658        6.492900045070982        34.7091057053494         -12.711761298998516      14.174179868033576       -35.61514928889096       -42.687422486923964      -122.2205950786674       -86.45053160796581       177.86911307007364       8.225660663501746        0.4213196463296365       -0.6114043897336995      0.043549423669873466     -0.03420197659335977     -0.04904678377065885     0.08960694228605148      -127.6216496496734       48.78143921263165        26.910941906030445       75.62736697018215        179.3039737776283        -175.0402339165336       -61.775516141123504      98.34981992031891        -173.89414051894695      -143.9556960621609       89.47526267225288        43.18884563356946        -173.1839287079532       -171.30274852150458      135.73258775936267       
rwgt1                    12.086684711729177       9.268028093406015        -1.4219251198452403      -0.4412741714108499      -0.5821834697816892      98.09912579656668        1.3112298879799287       128.99564525090796       -7.110020230646519       3.84111333824697         5.372848157735774        -141.54741246476533      28.956837437762402       37.550472735845744       -122.78904389988801      -14.529058463097682      -0.011454850286536367    0.025200639107923473     -0.2763423599529078      -0.23345419447200016     -0.5335402145504055      0.12237180787841007      127.00070764490692       163.32861619318533       -179.71428164520503      -67.92320711773166       -1.5940731926403942      63.882085804041196       71.13625470127178        -97.06074699423483       75.81849452167478        131.27465444053115       -38.07384964411017       18.45476859106128        174.42419379162664       -97.4741288260854        -92.17164334833484       
rwgt2                    79.4127653311347         -2.324446277825846       -0.8796369800321966      -7.555537180942963       0.4664966236017398       114.44892465261955       1.8153942122393403       -88.01965745748267       -8.112114355184488       -24.684360850373885      50.28005572292895        50.109384993824364       -74.18230700883183       119.1751712148095        122.87000176113321       -5.622769947345663       0.2615208780634938       -0.45039400034026994     0.37601987856025476      0.2789463235375562       0.2549254064014902       -0.5288090216586814      89.64002855895399        -138.52577808221412      -111.52789960289684      -52.841074245666945      -159.64630192701455      123.80399771950414       -27.847393595147963      100.88787409137797       -121.22569045095202      -159.64328878266366      111.177828236062         169.13675138818735       10.558897845993044       -10.959178908685914      98.96906864801497        
rwgt3                    59.850603441623974       10.589010412356474       0.8382549766891412       3.3345683911496877       -0.026854023777660663    33.321356867631806       -0.3421869914302995      -148.3918377476521       8.006137536413124        -14.006172185701931      -9.848119979113072       33.843617006752254       -73.03990592569274       -138.84719805563412      -43.67767104007899       5.190833002624849        -0.1910432891551102      0.8633336557617823       -0.14897503665186673     -0.3788281643799396      -0.40540188023512186     -0.1222020015424331      8.584395219854912        170.21237425450875       62.53102256397318        -38.92114012245614       64.09166410764288        88.70212801957024        66.37728965906746        153.91856169520992       152.61852897607992       74.2634740740522         -11.10703556374986       -60.15039427300394       166.99858712161034       59.57162881109832        -139.3216778841006       
rwgt4                    4.199015128399722        -8.43651325303064        1.1105774151196925       7.068559521925238        0.03508574664560382      -9.185628826791628       4.296299097597801        24.52999314333303        -2.815450336037136       6.73707355665406         -39.056097878686714      53.937343308662946       -128.24593760333505      134.07991528934662       57.85412317473262        15.862541028507614       -0.04221184111474402     -0.2150005371615149      -0.6533785911972414      -0.34581099847174807     0.44600510152911865      0.47616546527893633      51.197645451610356       -4.5427954252689915      119.94605490994758       -160.18943632704492      -8.24270110913119        -175.03854035705302      -25.112976789055296      -12.971131973192655      -103.04888978945814      147.02404297720642       49.26223295736159        152.07223150097298       39.03232901529273        130.5149671292694        -118.6972297377716       
rwgt5                    17.964555515741992       -0.26774090006232143     0.03942451574101291      -1.5491918804583875      0.10060177626992883      50.47405108654712        0.39755857923821036      -15.300617912081009      -5.278265329527979       -20.223520230925605      -38.68957334614718       130.41482170517526       1.1326628813386037       -151.94819916163124      -69.09248302876603       -0.04582942221026798     0.13304354924105577      -0.6019294968491768      -0.16951937969600078     0.10487668697516805      -0.04891930897046792     -0.2651865698697614      104.52121493663083       163.0708901063598        -48.29070007782971       75.2688302837887         1.7711230639070834       13.165765428324988       154.5854539659756        -121.35140376259635      -54.153322160619794      61.094575117436506       163.32462089173038       -103.47204886647943      167.6496075720196        -52.69820687492734       177.61047109053533       
rwgt6                    -51.40458394111483       9.957575338976673        1.432410243827365        -9.752496703629017       0.34475767443478866      -103.50680269775881      -0.002243001259913946    139.64405590048932       3.192461768574713        5.959056821419452        8.689739005594433        -106.08237774756702      -64.27906210373618       -165.95246423507345      -111.03152783514061      17.42114741733395        0.2715235698412227       0.5301684227401611       -0.035450664300028856    0.36766506396717535      0.37434340675890043      -0.45201636032336845     -143.36858357813256      115.53087019272948       156.6269773976283        161.39275154722236       -34.18312643242294       121.17910104682926       0.16624851814788144      7.796317508719227        -28.2977501565926        56.379256285607624       34.69233166794697        173.75642830835704       -6.766648787740223       -115.86251282403389      -95.48838336974997       
rwgt7                    12.431327251425614       10.68320327341839        -1.9332480518138127      7.92742770842376         -0.033238686285689156    158.58941790918266       -4.150243130901622       -34.65518440355925       12.519023676946418       16.196735257923066       13.513492256541042       132.71258473410631       23.44138143867454        21.503055296690093       -45.12268614732943       -9.722654620410337       -0.3505507795355801      0.5921916407822039       -0.6613203893215386      -0.07444931138392064     -0.30151964269320536     -0.6086718926266919      -137.55196142937407      177.4318985369698        144.7468424333893        -128.0813278149344       -62.7658218165743        142.9902083570559        6.17913720171353         140.4669360842879        144.20888855172416       -112.0603748531077       -102.92939567347159      103.91446800188555       -130.43724963304524      118.9029136691866        126.21524400389319       
rwgt8                    -21.269995986757124      -11.895922766139943      -0.8813874717564356      -12.91815851609304       -0.14201034557801656     -55.31339188974175       -3.1861517728817703      40.487226937366415       3.2485559893726936       -13.818394019568355      48.38589227035044        -27.124213029087116      -106.80554628617044      41.954157478688245       -155.3589914734879       -3.404845141446483       -0.10991161958187284     -0.10613516695751679     0.32018901088297824      -0.0449811600928397      0.02455898722664629      0.182329218362989        -161.5176301244048       -152.39890333019207      -119.881418728181        114.3643574105547        123.44702929197405       42.18892097269759        22.26433857029849        39.98890908558815        -137.81697143926417      -13.402044589028293      113.64037227082918       53.98205384272188        56.22576973750884        -96.88714089766829       94.01631148409183        
