                         cQj11                    ctq8                     ctq1                     ctWRe                    cQj18                    cQj31                    ctBRe                    cQj38                    ctGRe                    
MGStart                  -1.6                     1.55                     -2.34                    1.57                     0.28                     2.64                     2.48                     3.36                     0.3                      
rwgt0                    1.0249177421             1.47593307768            -1.98878081214           2.2774064585             0.386727056581           -1.71471460561           2.63790139793            -2.33989246456           -0.535109264286          
rwgt1                    -2.15360839333           -1.18839862933           0.762419285273           -1.55193235147           -0.498204547482          -2.65619793562           2.63919695899            4.18508160861            -0.301054965526          
rwgt2                    0.402052045993           0.824328149152           -2.61738928283           -1.96645449778           0.352561298967           -2.91548232387           -3.34639212919           1.35839903074            -0.381319985859          
rwgt3                    0.52904541437            2.37115360348            -3.92808831232           2.70432238028            -0.101021274883          0.229019926598           -0.623663860654          -1.45428938121           0.0776260511467          
rwgt4                    2.46596619935            -1.90405093319           -0.62151873595           -1.70827842603           -0.12076469425           0.261373981436           -4.2576191123            -2.37754359028           0.460587991839           
rwgt5                    2.44928158721            -2.70185970327           3.08349831498            1.59867721647            -0.442030542963          -3.75699223546           4.22144622284            5.47644455622            0.263095503617           
rwgt6                    -0.86227933122           0.873813142023           1.34258431494            -1.13789865534           -0.419747749093          2.90676335682            -3.80391104463           -3.7766770699            0.410810756948           
rwgt7                    1.91180730953            -2.40468453855           -2.87780708485           -2.11741387761           0.0198638538155          2.72932446225            -1.78818239369           5.98478618956            -0.0131050710489         
rwgt8                    1.46007399347            -1.31667843305           -4.11434978061           -0.0436096434499         -0.489305556005          4.73125148768            4.30249956671            -2.82271116725           0.0139322170069          
rwgt9                    -2.13049394762           -2.10314805933           -2.51212229607           0.517718226651           -0.387261660536          3.89384920177            3.45578867363            2.01648618255            0.419208805411           
rwgt10                   -1.47161142831           0.397702130979           1.64355513978            -0.0159340055721         -0.262295221377          2.82218244599            -0.582057520566          0.193973729918           -0.433268200697          
rwgt11                   -2.59011379856           -1.9322758971            -0.700119592276          -2.39788931601           -0.432292755327          0.38315416462            0.0436748695184          -3.55478271328           0.407036661052           
rwgt12                   2.01679446946            2.2388301532             0.860177610429           1.3498773738             0.0331472057441          -0.91610250218           2.90648225269            5.77159458379            -0.298858179093          
rwgt13                   -0.986286422393          -0.0714569470203         -3.43837003205           -1.22820129648           0.0605008422716          -4.1789924644            2.08414379019            5.35095012635            -0.289903831658          
rwgt14                   -1.63886771555           2.11629450178            -0.999755570215          2.291000847              0.366566850311           -2.28914277655           -0.816090503297          -1.4388524614            0.315095588746           
rwgt15                   2.50897089543            -2.59043388518           -2.97679990357           -1.52905123015           0.222888991942           2.73247725845            4.02161004978            -2.24705368945           0.0705724333108          
rwgt16                   -1.60422485473           0.333244883721           0.544399970552           -2.09820298977           -0.0118873683976         4.68644072063            -0.317143552574          -3.31374737437           -0.513715538787          
rwgt17                   -1.26452439548           -2.06544309001           3.30912216147            2.30249081016            0.199960975019           -1.65144274328           -1.7375571016            -2.94600833964           0.113084257964           
rwgt18                   -1.95101144994           1.41397800647            -3.93300626236           0.231355691235           0.489536945673           -0.0413159249889         2.84635820691            -3.15525932006           0.392343174876           
rwgt19                   -2.14186737473           -2.42826820384           0.42573579447            -0.641629713463          -0.0763264498095         4.58696422214            -4.33971628619           3.81716505305            -0.534935571123          
rwgt20                   1.72878548155            -0.310460586412          -1.39695242404           -0.246730641132          -0.244830131717          -3.44939131376           0.685877087237           -5.78198368064           0.466157913384           
rwgt21                   1.21099677911            0.113299292158           -0.534208370195          2.62999799523            -0.32569110675           3.35349895284            2.66929214854            5.25925145559            -0.450976310358          
rwgt22                   -1.76417553711           -2.29493207313           2.35335098891            2.02906522875            -0.471119646722          2.16562351228            1.00349313925            5.26368744718            0.111586341135           
rwgt23                   -1.65434035251           0.381981669691           -1.64130516033           -1.0708836582            0.220439226696           2.15655152157            0.414155939744           3.92970735942            0.380328463025           
rwgt24                   -0.658730490283          0.671396254166           2.19901537459            -2.30191478476           -0.206267996665          4.24396818995            -1.31248055168           5.24545079308            0.327203968208           
rwgt25                   2.17773840613            -2.33627750548           3.84542960767            2.02796396737            0.224048060007           0.734547231914           -2.80779709423           -0.637902290993          0.305965977767           
rwgt26                   0.823416778029           1.60747805357            -1.60005403408           -0.796591764808          -0.414465758134          -2.68500597393           -3.33144083828           -0.980858913408          0.209827630327           
rwgt27                   0.24833730229            0.87267553407            1.79147195632            -0.880207880859          0.48269562968            -0.093511318499          1.7478653807             3.53581171813            0.148110678561           
rwgt28                   2.37563759128            -1.90305998278           -2.26471923503           -0.862674222678          0.494403473319           2.2324248535             -2.18513149213           2.42434593014            -0.0784010957406         
rwgt29                   -1.5772341511            2.27584697628            -1.44909963695           -1.74752474731           0.235735044742           2.66984156156            1.67421016698            -1.06051352375           0.442283142401           
rwgt30                   0.542330200324           -0.760331007343          -0.889437978295          1.51225943683            -0.137958659418          -0.220988125037          1.65756484502            -5.45249921821           0.0518702859556          
rwgt31                   1.05368602629            0.26744631948            3.18235151745            -2.74381874659           0.385294336263           -2.51238361511           -3.05941631499           -5.35526849773           -0.132540021885          
rwgt32                   0.973787015222           0.453463995791           0.619718247924           2.37013365332            -0.186297581321          2.3768454806             -2.80217426014           2.34331026819            -0.126998771926          
rwgt33                   -1.58805474224           0.314372567329           -1.66743915437           -0.680732192915          -0.00374059640188        -4.69930748835           -3.73425224824           -1.05401025636           0.0940950034956          
rwgt34                   -0.689223221225          -0.0149941294348         1.27926715148            -0.73361351883           -0.047534783586          -3.68693332341           -1.69997733825           1.97520424072            0.285402741124           
rwgt35                   2.66587657353            0.572154039765           1.33153465677            -2.19740905301           0.353768809261           0.974229477445           -3.90531364264           0.0758220804899          0.0598780639828          
rwgt36                   -1.49669494481           -0.57190442845           -2.83111926406           -2.64125667217           -0.337249447874          -2.3063747688            2.16772848088            4.63169497231            -0.536414428158          
rwgt37                   1.54165308831            2.47593932505            -2.87437905409           1.41119585093            0.207690604404           -1.39417148408           -4.42476712273           5.42477260582            0.0904519913452          
rwgt38                   -1.4058812311            -1.0008450484            -2.29062745298           -2.02924601327           -0.255684567021          -0.0355435673645         -1.69319748584           -3.94684568394           0.362871729451           
rwgt39                   -0.282803327637          1.86637415598            -1.17345886666           -0.46230406954           0.221889552179           -0.857098551039          -1.83634044542           3.29537590688            -0.14617993616           
rwgt40                   2.15438129544            1.81625710319            -2.54752514201           -1.30637510996           -0.500053503807          0.588635926089           2.43754068593            -5.84893966218           -0.501623347833          
rwgt41                   -0.353679355756          2.06040945865            -3.72164500409           0.660832192847           0.293163127909           -4.52384670324           1.02428227435            1.32960662978            -0.220744577614          
rwgt42                   1.53156083331            0.0612603217712          0.187056096758           2.00753761168            0.321572133826           2.11042311435            -2.44891590679           2.66132365993            -0.473142606501          
