               ctW             ctp             cpQM            ctei            ctli            cQei            ctZ             cQlMi           cQl3i           ctG             ctlTi           cbW             cpQ3            cptb            cpt             ctlSi           
MGStart        9.415769        74.587733       -24.610238      20.664545       23.422222       24.578235       7.075235        -22.286218      -23.620929      2.56727         -21.522937      49.137259       45.752842       -135.194093     -41.969934      24.22842        
rwgt0           9.194394        10.652257       22.474178       -17.29994       16.231488       24.54412        -1.401838       -7.688702       12.115157       -2.415458       -23.509377      5.488707        51.767463       120.089306      -8.065525       13.381203       
rwgt1           -0.871066       3.075542        2.365381        -12.128764      -14.684192      14.266262       4.136282        22.892154       6.632814        0.455247        12.636609       -50.527495      47.375887       -27.282384      -34.930713      -11.369366      
rwgt2           2.009467        23.926299       2.992352        17.537143       21.085741       10.248716       5.370004        10.667881       5.435613        -3.930435       -13.06088       -33.525219      -38.227357      46.097077       -38.92077       -14.337243      
rwgt3           3.420623        -3.508295       10.000614       18.427871       -11.745437      13.662688       -5.94931        21.591904       -3.595969       -1.032577       19.306759       -33.324456      -35.905284      -68.746514      -7.074184       6.792187        
rwgt4           5.794255        25.085593       0.881838        -12.309358      -15.777299      -17.709065      5.608652        -6.58869        0.49166         -1.324914       20.806853       -13.376412      -38.182944      110.112993      -16.198357      23.028464       
rwgt5           -3.233375       68.206452       -16.958962      -1.182296       4.670336        -17.056331      4.256482        -17.191609      -14.301992      -1.917615       -10.049823      6.663407        18.728469       77.577867       -13.778252      -0.569302       
rwgt6           -5.884341       -37.939838      25.693722       -3.830052       -3.219082       13.603386       -4.883795       -6.159083       -10.497377      -2.821049       -21.112314      -11.976201      -7.341751       -38.834869      31.28562        5.460327        
rwgt7           7.596423        76.234447       -27.844958      -23.540727      4.347198        7.229146        1.376235        -8.229171       15.685346       -1.170952       19.029398       -48.066764      44.146616       11.459358       -45.927664      6.248208        
rwgt8           -2.096676       -29.564053      -15.461397      -8.469953       -20.178905      -3.377403       -0.481886       18.58132        21.992547       0.497706        -13.133701      -5.025131       -46.218033      27.736717       -41.309839      18.790768       
rwgt9           4.793161        58.941472       9.005926        18.783252       11.057666       -4.093104       -5.983764       -19.083431      -20.496526      1.113969        -13.521843      -7.670275       -18.25925       123.592225      -46.20782       -20.58945       
rwgt10          1.270166        53.508278       -11.340063      -3.093431       -24.161671      -0.362491       5.1103          22.63009        9.199499        -1.690517       0.641935        40.908825       7.944227        -74.446414      30.841241       7.991736        
rwgt11          8.852352        8.738437        5.401344        -8.980713       -12.735149      -0.740149       -2.528648       -19.335741      -3.61486        0.649673        9.487601        -17.114826      -29.835781      74.375507       -22.433781      -15.922987      
rwgt12          -4.540313       51.780171       37.060218       12.284336       -9.704464       23.209507       6.124695        -20.741403      -16.70586       -3.691885       -10.15778       7.487252        7.621975        42.443434       -37.851896      -12.336429      
rwgt13          -4.760291       27.160246       -2.92609        -8.971276       16.404066       7.813068        2.486863        -5.050585       13.057144       -3.772742       3.894657        30.718286       10.997025       -81.703487      -18.752106      24.755801       
rwgt14          1.187894        56.335263       -19.360193      -17.038471      -15.786004      -11.164628      -0.678258       -24.580874      -24.425551      2.687848        10.781742       37.908323       -35.822135      33.139846       -43.066266      -13.666571      
rwgt15          5.659163        50.052387       31.208716       24.762544       -8.819554       -21.646341      -6.253657       -9.176682       -12.741344      1.659476        16.199366       47.468285       29.580165       103.474997      18.744133       22.366461       
rwgt16          -1.296952       52.351726       1.312872        5.312429        1.015052        -21.123746      0.931347        4.223708        7.353878        -0.556792       19.196089       12.611597       -20.70736       76.663896       7.241685        -5.904533       
rwgt17          -6.170582       -26.31951       11.159919       10.294011       -5.012875       14.494842       -6.723902       10.165356       9.639345        -3.683363       -14.696956      9.881241        -12.771499      -18.418182      -15.645633      -23.415902      
